policy,threshold,threshold_source,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_threshold,test_tn,test_fp,test_fn,test_tp
fixed_0_5,0.5,fixed,0.9994457673043764,0.9995750751206484,0.9996054149213865,0.9995902447907972,0.9999972380391795,0.00039458507861348874,0.0008877615726062143,0.0006411733256098516,0.5,15756,14,13,32933,0.8309662051511091,0.9997772146258598,0.759857768747222,0.8634614459569965,0.995189541622775,0.24014223125277795,0.00040154595191487224,0.12027188860234642,0.5,19915,8,11346,35901
checkpoint_threshold,0.8175454545454546,best_metrics_json,0.9994252401675014,0.9997874407870764,0.9993625933345475,0.9995749719177874,0.9999972380391795,0.0006374066654525587,0.00044388078630310716,0.0005406437258778329,0.8175454545454546,15763,7,21,32925,0.8020098258150961,0.9998527592908888,0.7186276377336127,0.8362292962256018,0.995189541622775,0.2813723622663873,0.0002509662199467952,0.14081166424316705,0.8175454545454546,19918,5,13294,33953
val_min_acer,0.8130000000000001,val,0.9994252401675014,0.9997874407870764,0.9993625933345475,0.9995749719177874,0.9999972380391795,0.0006374066654525587,0.00044388078630310716,0.0005406437258778329,0.8130000000000001,15763,7,21,32925,0.80262021735894,0.9998529368510839,0.7194954176984782,0.8368165817394088,0.995189541622775,0.2805045823015218,0.0002509662199467952,0.1403777742607343,0.8130000000000001,19918,5,13253,33994
val_target_bpcer_0.005,0.006162966255132942,val,0.998398883323754,0.9976682211858761,0.9999696473016452,0.9988176085374727,0.9999972380391795,3.0352698354883748e-05,0.004882688649334179,0.002456520673844531,0.006162966255132942,15693,77,1,32945,0.9307726663689146,0.9983620750169642,0.9030626283150253,0.948324146514936,0.995189541622775,0.09693737168497471,0.003513527079255132,0.05022544938211492,0.006162966255132942,19853,70,4580,42667
val_target_bpcer_0.010,0.0013587299019027091,val,0.9967567123737581,0.9952570841640989,0.9999696473016452,0.9976078003875969,0.9999972380391795,3.0352698354883748e-05,0.009955611921369689,0.004992982309862286,0.0013587299019027091,15613,157,1,32945,0.9558880452582998,0.9962348722545944,0.9408428048341694,0.9677468514265187,0.995189541622775,0.05915719516583064,0.008432464990212317,0.033794830078021476,0.0013587299019027091,19755,168,2795,44452
val_target_bpcer_0.020,0.0003806979871402284,val,0.993595533295016,0.9906187984845751,1.0,0.9952872938191046,0.9999972380391795,0.0,0.01978440076093849,0.009892200380469245,0.0003806979871402284,15458,312,0,32946,0.9701057019502755,0.9919956498096791,0.9652888014053802,0.9784600201669134,0.995189541622775,0.03471119859461976,0.018471113788084123,0.026591156191351942,0.0003806979871402284,19555,368,1640,45607
val_target_bpcer_0.050,7.653919388230155e-05,val,0.9839477789637902,0.9768145161290323,1.0,0.9882712901580826,0.9999972380391795,0.0,0.049587824984147114,0.024793912492073557,7.653919388230155e-05,14988,782,0,32946,0.9740062527914247,0.9781425358861731,0.9850572523123161,0.9815877167081453,0.995189541622775,0.014942747687683874,0.05220097374893339,0.03357186071830863,7.653919388230155e-05,18883,1040,706,46541
test_oracle_do_not_report_as_main,0.001,test_oracle,0.9962435339518844,0.9944761387304175,1.0,0.9972304199772986,0.9999972380391795,0.0,0.01160431198478123,0.005802155992390615,0.001,15587,183,0,32946,0.9594312937323209,0.9954816595441596,0.9466209494782738,0.9704366693788988,0.995189541622775,0.05337905052172625,0.010189228529839884,0.031784139525783066,0.001,19720,203,2522,44725
