policy,threshold,threshold_source,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_threshold,test_tn,test_fp,test_fn,test_tp
fixed_0_5,0.5,fixed,0.998809426061253,0.9995443222553011,0.99869483397074,0.9991193975464594,0.9999918777180052,0.0013051660292600013,0.0009511731135066582,0.0011281695713833298,0.5,15755,15,43,32903,0.8050617835343159,0.9995904157280361,0.7231570258429106,0.8391953627744756,0.9963981659781507,0.27684297415708936,0.0007027054158510264,0.1387728397864702,0.5,19909,14,13080,34167
checkpoint_threshold,0.30846464646464644,best_metrics_json,0.9990762788406273,0.9995141651231287,0.9991197717477084,0.999316929522306,0.9999918777180052,0.0008802282522916287,0.001014584654407102,0.0009474064533493655,0.30846464646464644,15754,16,29,32917,0.823671281822242,0.9993793550935199,0.7497830550087836,0.8567731637119984,0.9963981659781507,0.2502169449912164,0.0011042513677658988,0.12566059817949113,0.30846464646464644,19901,22,11822,35425
val_min_acer,0.307,val,0.9991173331143772,0.9995141946257781,0.9991804771444182,0.9993473080250755,0.9999918777180052,0.0008195228555818613,0.001014584654407102,0.0009170537549944817,0.307,15754,16,27,32919,0.8239243709989579,0.999379652605459,0.7501428662137278,0.8570081367653637,0.9963981659781507,0.24985713378627214,0.0011042513677658988,0.12548069257701902,0.307,19901,22,11805,35442
val_target_bpcer_0.005,0.012192312516491095,val,0.9983167747762542,0.9976377952755906,0.9998785892065805,0.998756935390959,0.9999918777180052,0.00012141079341953499,0.0049461001902346225,0.0025337554918270786,0.012192312516491095,15692,78,4,32942,0.913800803930326,0.997575553901918,0.8795902385336635,0.9348750365554631,0.9963981659781507,0.12040976146633649,0.0050695176429252625,0.06273963955463087,0.012192312516491095,19822,101,5689,41558
val_target_bpcer_0.010,0.0031732296347349795,val,0.996777239510633,0.9952871514455757,0.9999696473016452,0.9976229049010553,0.9999918777180052,3.0352698354883748e-05,0.009892200380469245,0.004961276539412064,0.0031732296347349795,15614,156,1,32945,0.9481762691677832,0.9951353063625668,0.9308739179207145,0.9619325700162943,0.9963981659781507,0.06912608207928546,0.010791547457712191,0.03995881476849882,0.0031732296347349795,19708,215,3266,43981
val_target_bpcer_0.020,0.0011509622008850312,val,0.9935134247475162,0.9905291641611546,0.9999696473016452,0.9952270186992116,0.9999918777180052,3.0352698354883748e-05,0.019974635383639822,0.010002494040997354,0.0011509622008850312,15455,315,1,32945,0.9655352091707607,0.9907383136740935,0.9599762947912037,0.9751147516312468,0.9963981659781507,0.04002370520879633,0.02128193545148823,0.03065282033014228,0.0011509622008850312,19499,424,1891,45356
val_target_bpcer_0.050,0.00036021065623570734,val,0.9840504146481649,0.9769876338186887,0.9999696473016452,0.9883450582747086,0.9999918777180052,3.0352698354883748e-05,0.04920735573874445,0.024618854218549667,0.00036021065623570734,14994,776,1,32945,0.9734405240434718,0.9774823030226647,0.9849302601223358,0.9811921479326122,0.9963981659781507,0.01506973987766419,0.053807157556592884,0.034438448717128534,0.00036021065623570734,18851,1072,712,46535
test_oracle_do_not_report_as_main,0.001,test_oracle,0.9930618277362674,0.9898744065861427,0.9999696473016452,0.994896418433291,0.9999918777180052,3.0352698354883748e-05,0.021369689283449587,0.010700020990902236,0.001,15433,337,1,32945,0.9676343605776389,0.9899558666869579,0.9637648951256165,0.9766848269057526,0.9963981659781507,0.036235104874383556,0.02318927872308387,0.029712191798733713,0.001,19461,462,1712,45535
