policy,threshold,threshold_source,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_threshold,test_tn,test_fp,test_fn,test_tp
fixed_0_5,0.5,fixed,0.9975983249856311,0.9998477420140687,0.996600497784253,0.9982214790605761,0.9999914523567918,0.0033995022157469797,0.0003170577045022194,0.0018582799601245996,0.5,15765,5,112,32834,0.7773261872859908,0.99975236798118,0.6835989586640422,0.8119869772353022,0.9959504472773439,0.3164010413359578,0.00040154595191487224,0.15840129364393635,0.5,19915,8,14949,32298
checkpoint_threshold,0.016121212121212123,best_metrics_json,0.9992815502093768,0.99969633476056,0.9992411825411279,0.9994687068324302,0.9999914523567918,0.0007588174588720937,0.0006341154090044388,0.0006964664339382663,0.016121212121212123,15760,10,25,32921,0.8494714902486229,0.9995964053166873,0.7863144749931212,0.8802198713468304,0.9959504472773439,0.21368552500687873,0.0007528986598403855,0.10721921183335956,0.016121212121212123,19908,15,10096,37151
val_min_acer,0.016,val,0.9992815502093768,0.99969633476056,0.9992411825411279,0.9994687068324302,0.9999914523567918,0.0007588174588720937,0.0006341154090044388,0.0006964664339382663,0.016,15760,10,25,32921,0.849650141432187,0.9995965355855614,0.7865684593730818,0.8803790346461356,0.9959504472773439,0.2134315406269181,0.0007528986598403855,0.10709221964337924,0.016,19908,15,10084,37163
val_target_bpcer_0.005,0.0006742622241778335,val,0.9982962476393793,0.997667868067965,0.9998178838098707,0.9987417188423814,0.9999914523567918,0.00018211619012930248,0.004882688649334179,0.0025324024197317407,0.0006742622241778335,15693,77,6,32940,0.9206044365043918,0.9981459472308059,0.8887760069422397,0.940291321920799,0.9959504472773439,0.11122399305776028,0.003915073031170005,0.05756953304446514,0.0006742622241778335,19845,78,5255,41992
val_target_bpcer_0.010,0.00018207916800994624,val,0.9967361852368831,0.995256940877919,0.9999392946032902,0.9975926234348267,0.9999914523567918,6.0705396709767496e-05,0.009955611921369689,0.005008158659039728,0.00018207916800994624,15613,157,2,32944,0.9480273931814799,0.9953584205044604,0.9304506106207802,0.9618106833820135,0.9959504472773439,0.06954938937921984,0.010289615017818601,0.03991950219851922,0.00018207916800994624,19718,205,3286,43961
val_target_bpcer_0.020,7.242022334607315e-05,val,0.9935134247475162,0.9905291641611546,0.9999696473016452,0.9952270186992116,0.9999914523567918,3.0352698354883748e-05,0.019974635383639822,0.010002494040997354,7.242022334607315e-05,15455,315,1,32945,0.962929879410451,0.9901868442380567,0.956780324676699,0.9731969860064585,0.9959504472773439,0.04321967532330095,0.022486573307232846,0.03285312431526689,7.242022334607315e-05,19475,448,2042,45205
val_target_bpcer_0.050,2.5787628875937984e-05,val,0.9840709417850398,0.9770166073546857,0.9999696473016452,0.988359883598836,0.9999914523567918,3.0352698354883748e-05,0.04914394419784401,0.024587148448099446,2.5787628875937984e-05,14995,775,1,32945,0.9709096322763139,0.9784101231594735,0.9802738798230576,0.9793411147762835,0.9959504472773439,0.01972612017694245,0.05129749535712493,0.03551180776703369,2.5787628875937984e-05,18901,1022,932,46315
test_oracle_do_not_report_as_main,0.001,test_oracle,0.9985425732818787,0.9980607823531195,0.9997875311115159,0.9989234105141852,0.9999914523567918,0.00021246888848418623,0.004058338617628408,0.002135403753056297,0.001,15706,64,7,32939,0.9119994044960548,0.9985045827303425,0.8762037801341884,0.9333648979223736,0.9959504472773439,0.12379621986581159,0.00311198112734026,0.06345410049657592,0.001,19861,62,5849,41398
