policy,threshold,threshold_source,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_threshold,test_tn,test_fp,test_fn,test_tp
fixed_0_5,0.5,fixed,0.9953403399293866,0.9931868198124868,0.9999696473016452,0.996566692378662,0.9999232646446188,3.0352698354883748e-05,0.014331008243500316,0.0071806804709276,0.5,15544,226,1,32945,0.9415512877772815,0.9935291303059992,0.922915740681948,0.9569215238764045,0.9944696568103791,0.07708425931805193,0.014254881292977965,0.04566957030551495,0.5,19639,284,3642,43605
checkpoint_threshold,0.999,best_metrics_json,0.9990762788406273,0.9992412976844406,0.9993929460329023,0.9993171161054373,0.9999232646446188,0.000607053967097675,0.0015852885225110971,0.0010961712448043861,0.999,15745,25,20,32926,0.8434866755992259,0.9988863537592351,0.7783562977543548,0.8749390338198731,0.9944696568103791,0.22164370224564522,0.00205792300356372,0.11185081262460447,0.999,19882,41,10472,36775
val_min_acer,0.999,val,0.9990762788406273,0.9992412976844406,0.9993929460329023,0.9993171161054373,0.9999232646446188,0.000607053967097675,0.0015852885225110971,0.0010961712448043861,0.999,15745,25,20,32926,0.8434866755992259,0.9988863537592351,0.7783562977543548,0.8749390338198731,0.9944696568103791,0.22164370224564522,0.00205792300356372,0.11185081262460447,0.999,19882,41,10472,36775
val_target_bpcer_0.005,0.973,val,0.9983167747762542,0.9976377952755906,0.9998785892065805,0.998756935390959,0.9999232646446188,0.00012141079341953499,0.0049461001902346225,0.0025337554918270786,0.973,15692,78,4,32942,0.8988089921095728,0.9973197600078686,0.8584460389019408,0.9226866860035261,0.9944696568103791,0.14155396109805912,0.005471063594840135,0.07351251234644963,0.973,19814,109,6688,40559
val_target_bpcer_0.010,0.79,val,0.9967156581000082,0.9952567975830816,0.9999089419049354,0.9975774460224692,0.9999232646446188,9.105809506465124e-05,0.009955611921369689,0.00502333500821717,0.79,15613,157,3,32943,0.9275271698675004,0.9953942907909195,0.9011365801003238,0.9459231281937347,0.9944696568103791,0.09886341989967617,0.00988806906590373,0.05437574448278995,0.79,19726,197,4671,42576
val_target_bpcer_0.020,0.163,val,0.9935339518843912,0.990529448904122,1.0,0.9952421949340704,0.9999232646446188,0.0,0.019974635383639822,0.009987317691819911,0.163,15455,315,0,32946,0.9546374869733512,0.9905660377358491,0.9445044129786018,0.9669870093285806,0.9944696568103791,0.05549558702139818,0.021332128695477588,0.038413857858437886,0.163,19498,425,2622,44625
val_target_bpcer_0.050,0.005031548945038057,val,0.9838656704162904,0.9766986837424404,1.0,0.988212003959327,0.9999232646446188,0.0,0.04984147114774889,0.024920735573874444,0.005031548945038057,14984,786,0,32946,0.9667857674557094,0.9777145767892012,0.9750037039388745,0.9763572586713013,0.9944696568103791,0.024996296061125575,0.05270290618882698,0.03884960112497628,0.005031548945038057,18873,1050,1181,46066
test_oracle_do_not_report_as_main,0.024,test_oracle,0.9892643074144019,0.9843735994502375,1.0,0.9921252729052172,0.9999232646446188,0.0,0.03316423589093215,0.016582117945466074,0.024,15247,523,0,32946,0.9642548756885514,0.9846749092166696,0.9641882024255508,0.9743238763354044,0.9944696568103791,0.03581179757444917,0.035587009988455556,0.035699403781452366,0.024,19214,709,1692,45555
