epoch,train_loss,train_loss_pad,train_loss_spoof,train_loss_illum,train_loss_env,train_loss_total,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp
0,0.1291470294270052,0.538783848285675,1.1318440437316895,0.921118438243866,0.9512042999267578,1.0655694007873535,0.995196649971262,0.9980208269898301,0.9948703939780247,0.9964431203258953,0.9998028537387575,0.005129606021975354,0.004121750158528852,0.004625678090252103,0.664,15705,65,169,32777
1,0.04546505439179439,0.00022451077529694885,0.00871405377984047,0.6426801681518555,0.2631235122680664,0.09341908991336823,0.9990146974300025,0.9994231236337139,0.9991197717477084,0.9992714246683464,0.9999890782253131,0.0008802282522916287,0.0012048192771084338,0.0010425237647000312,0.785,15751,19,29,32917
2,0.029486776886414937,6.162670615594834e-05,0.04174639284610748,0.4437426030635834,0.4276571571826935,0.09972552955150604,0.9989325888825027,0.9994837220602527,0.9989376555575791,0.9992106142028722,0.9999896335045441,0.0010623444424209313,0.001077996195307546,0.0010701703188642387,0.064,15753,17,35,32911
3,0.022393517836128418,0.038164786994457245,0.07002009451389313,0.3582204580307007,0.07886150479316711,0.10287901014089584,0.9968798751950078,0.9985102760549678,0.996873672069447,0.9976913028949846,0.9999509256341184,0.003126327930553026,0.0031071655041217503,0.0031167467173373884,0.97,15721,49,103,32843
4,0.01858116344757524,0.00042367723654024303,0.030669530853629112,0.6062397360801697,0.0054628849029541016,0.07079480588436127,0.9983578290500041,0.9996655315008514,0.997905663813513,0.9987848224321779,0.9999656631491027,0.0020943361864869787,0.0006975269499048827,0.0013959315681959306,0.802,15759,11,69,32877
