policy,threshold,threshold_source,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_threshold,test_tn,test_fp,test_fn,test_tp
fixed_0_5,0.5,fixed,0.9985015190081288,0.9997871499376654,0.9979967219085777,0.998891133625993,0.999991411937853,0.0020032780914223274,0.00044388078630310716,0.0012235794388627172,0.5,15763,7,66,32880,0.7838916182819711,0.999786226904871,0.6929117192625986,0.8185318531853185,0.9951957797908852,0.3070882807374013,0.0003513527079255132,0.1537198167226634,0.5,19916,7,14509,32738
checkpoint_threshold,0.274,best_metrics_json,0.998788898924378,0.9996657449329971,0.9985430704789656,0.9991040923240453,0.999991411937853,0.0014569295210344199,0.0006975269499048827,0.0010772282354696513,0.274,15759,11,48,32898,0.8038112252493673,0.99970665023908,0.7212944737231993,0.8379807219435428,0.9951957797908852,0.2787055262768006,0.0005019324398935904,0.1396037293583471,0.274,19913,10,13168,34079
val_min_acer,0.274,val,0.998788898924378,0.9996657449329971,0.9985430704789656,0.9991040923240453,0.999991411937853,0.0014569295210344199,0.0006975269499048827,0.0010772282354696513,0.274,15759,11,48,32898,0.8038112252493673,0.99970665023908,0.7212944737231993,0.8379807219435428,0.9951957797908852,0.2787055262768006,0.0005019324398935904,0.1396037293583471,0.274,19913,10,13168,34079
val_target_bpcer_0.005,0.005831305113526219,val,0.9982141390918795,0.9976374375283962,0.9997268257148061,0.998681038795652,0.999991411937853,0.00027317428519395374,0.0049461001902346225,0.002609637237714288,0.005831305113526219,15692,78,9,32937,0.905106446330207,0.9979532662459492,0.8668698541706352,0.9278044581370062,0.9951957797908852,0.13313014582936483,0.004216232495106159,0.0686731891622355,0.005831305113526219,19839,84,6290,40957
val_target_bpcer_0.010,0.0016952323415541214,val,0.9967361852368831,0.9953167960842373,0.9998785892065805,0.9975924776282119,0.999991411937853,0.00012141079341953499,0.009828788839568801,0.0049750998164941685,0.0016952323415541214,15615,155,4,32942,0.9383057912758672,0.9959041855542005,0.916058162423011,0.9543139373360087,0.9951957797908852,0.08394183757698902,0.008934397430105908,0.04643811750354746,0.0016952323415541214,19745,178,3966,43281
val_target_bpcer_0.020,0.0006148777653810016,val,0.9935134247475162,0.990558662577425,0.9999392946032902,0.9952268745090931,0.999991411937853,6.0705396709767496e-05,0.019911223842739377,0.009985964619724572,0.0006148777653810016,15456,314,2,32944,0.9592675301473872,0.9919103507724952,0.9498380849577751,0.9704184236133636,0.9951957797908852,0.050161915042224905,0.018370727300105406,0.034266321171165154,0.0006148777653810016,19557,366,2370,44877
val_target_bpcer_0.050,0.00022717281330269026,val,0.9839067246900403,0.9767565965016306,1.0,0.9882416461695362,0.999991411937853,0.0,0.049714648065948004,0.024857324032974002,0.00022717281330269026,14986,784,0,32946,0.9703439035283609,0.9810370118412381,0.9767180985036087,0.9788727912945718,0.9951957797908852,0.023281901496391304,0.04477237363850826,0.03402713756744978,0.00022717281330269026,19031,892,1100,46147
test_oracle_do_not_report_as_main,0.001,test_oracle,0.9954019213400115,0.9933361476299603,0.9999089419049354,0.9966117077597942,0.999991411937853,9.105809506465124e-05,0.014013950538998097,0.0070525043170313745,0.001,15549,221,3,32943,0.949739467023969,0.9942320257756349,0.9339640612102356,0.9631561715595329,0.9951957797908852,0.06603593878976442,0.012849470461275912,0.039442704625520165,0.001,19667,256,3120,44127
