policy,threshold,threshold_source,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_threshold,test_tn,test_fp,test_fn,test_tp
fixed_0_5,0.5,fixed,0.9988915346087528,0.9989078995267565,0.9994536514296121,0.9991807009558489,0.9999890772629574,0.0005463485703879075,0.0022828154724159797,0.0014145820214019435,0.5,15734,36,18,32928,0.8622003870775644,0.9990541996164254,0.8048553347302474,0.891501582463955,0.9966250060404366,0.19514466526975258,0.0018069567836169252,0.09847581102668475,0.5,19887,36,9220,38027
checkpoint_threshold,0.785,best_metrics_json,0.9990146974300025,0.9994231236337139,0.9991197717477084,0.9992714246683464,0.9999890772629574,0.0008802282522916287,0.0012048192771084338,0.0010425237647000312,0.785,15751,19,29,32917,0.8361322018758375,0.9994212005953366,0.767477300146041,0.8682254067449628,0.9966250060404366,0.232522699853959,0.0010540581237765397,0.11678837898886776,0.785,19902,21,10986,36261
val_min_acer,0.785,val,0.9990146974300025,0.9994231236337139,0.9991197717477084,0.9992714246683464,0.9999890772629574,0.0008802282522916287,0.0012048192771084338,0.0010425237647000312,0.785,15751,19,29,32917,0.8361322018758375,0.9994212005953366,0.767477300146041,0.8682254067449628,0.9966250060404366,0.232522699853959,0.0010540581237765397,0.11678837898886776,0.785,19902,21,10986,36261
val_target_bpcer_0.005,0.125,val,0.9982757205025043,0.9976376521897147,0.9998178838098707,0.9987265781335274,0.9999890772629574,0.00018211619012930248,0.0049461001902346225,0.0025641081901819625,0.125,15692,78,6,32940,0.897990174184904,0.9980273702379485,0.8566681482422165,0.9219607753809709,0.9966250060404366,0.14333185175778357,0.004015459519148723,0.07367365563846615,0.125,19843,80,6772,40475
val_target_bpcer_0.010,0.025492146544514205,val,0.9967156581000082,0.9952567975830816,0.9999089419049354,0.9975774460224692,0.9999890772629574,9.105809506465124e-05,0.009955611921369689,0.00502333500821717,0.025492146544514205,15613,157,3,32943,0.9297305344647908,0.9964279877664418,0.9033377780599826,0.9476021314387212,0.9966250060404366,0.09666222194001736,0.007679566330371932,0.05217089413519465,0.025492146544514205,19770,153,4567,42680
val_target_bpcer_0.020,0.005416686911033147,val,0.9935134247475162,0.990558662577425,0.9999392946032902,0.9952268745090931,0.9999890772629574,6.0705396709767496e-05,0.019911223842739377,0.009985964619724572,0.005416686911033147,15456,314,2,32944,0.9573916927199643,0.9931118764581713,0.9459859885283721,0.968976282357022,0.9966250060404366,0.05401401147162783,0.0155599056367013,0.03478695855416456,0.005416686911033147,19613,310,2552,44695
val_target_bpcer_0.050,0.0008890965989529167,val,0.9838040890056655,0.9766683466247665,0.9999392946032902,0.9881668341407082,0.9999890772629574,6.0705396709767496e-05,0.04990488268864934,0.024982794042679553,0.0008890965989529167,14983,787,2,32944,0.9749441715051362,0.9822607959356477,0.9821152665777722,0.9821880258659922,0.9966250060404366,0.017884733422227867,0.04206193846308287,0.029973335942655367,0.0008890965989529167,19085,838,845,46402
test_oracle_do_not_report_as_main,0.002,test_oracle,0.9892643074144019,0.9844314955924099,0.9999392946032902,0.9921247986026411,0.9999890772629574,6.0705396709767496e-05,0.033037412809131264,0.016549059102920517,0.002,15249,521,2,32944,0.9704034539228822,0.9886842162092124,0.9690139056448028,0.9787502405028112,0.9966250060404366,0.030986094355197155,0.026301259850424134,0.028643677102810645,0.002,19399,524,1464,45783
