policy,threshold,threshold_source,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_threshold,test_tn,test_fp,test_fn,test_tp
fixed_0_5,0.5,fixed,0.9957919369406355,0.9987812680905518,0.9949918047714442,0.996882935210668,0.9998818448558682,0.005008195228555818,0.0025364616360177552,0.003772328432286787,0.5,15730,40,165,32781,0.7480125055828495,0.9987498766325624,0.6425593159354033,0.782005048683736,0.9810319112671664,0.35744068406459667,0.0019073432715956433,0.17967401366809616,0.5,19885,38,16888,30359
checkpoint_threshold,0.268,best_metrics_json,0.9965924952787585,0.9985702987163108,0.9963880288957688,0.9974779702218171,0.9998818448558682,0.003611971104231166,0.0029803424223208623,0.003296156763276014,0.268,15723,47,119,32827,0.7662795891022778,0.9982312065698041,0.6689101953563189,0.8010442673020137,0.9810319112671664,0.3310898046436811,0.0028108216634041058,0.1669503131535426,0.268,19867,56,15643,31604
val_min_acer,0.268,val,0.9965924952787585,0.9985702987163108,0.9963880288957688,0.9974779702218171,0.9998818448558682,0.003611971104231166,0.0029803424223208623,0.003296156763276014,0.268,15723,47,119,32827,0.7662795891022778,0.9982312065698041,0.6689101953563189,0.8010442673020137,0.9810319112671664,0.3310898046436811,0.0028108216634041058,0.1669503131535426,0.268,19867,56,15643,31604
val_target_bpcer_0.005,0.0404209583979631,val,0.9968798751950078,0.9976327769347496,0.9977539003217386,0.9976933349520456,0.9998818448558682,0.0022460996782613972,0.0049461001902346225,0.00359609993424801,0.0404209583979631,15692,78,74,32872,0.8008783683191901,0.9970358631214415,0.719050945033547,0.8355283383135967,0.9810319112671664,0.2809490549664529,0.0050695176429252625,0.14300928630468906,0.0404209583979631,19822,101,13274,33973
val_target_bpcer_0.010,0.0026388908144575132,val,0.9960587897200098,0.9952522075722753,0.9989376555575791,0.9970915260399309,0.9998818448558682,0.0010623444424209313,0.009955611921369689,0.00550897818189531,0.0026388908144575132,15613,157,35,32911,0.8570046151555754,0.993057738656607,0.8023154909306411,0.8875542911998502,0.9810319112671664,0.1976845090693589,0.013301209657180143,0.10549285936326952,0.0026388908144575132,19658,265,9340,37907
val_target_bpcer_0.020,0.0006868103588995307,val,0.9933081533787668,0.9906148477920828,0.9995750622230316,0.9950747847106813,0.9998818448558682,0.00042493777696837247,0.01978440076093849,0.01010466926895343,0.0006868103588995307,15458,312,14,32932,0.8915438439779664,0.9885330073349633,0.8557368721823608,0.9173539655348452,0.9810319112671664,0.14426312781763923,0.023540631431009387,0.0839018796243243,0.0006868103588995307,19454,469,6816,40431
val_target_bpcer_0.050,0.0001691329517029647,val,0.9837630347319156,0.9766669631474398,0.9998785892065805,0.9881364829396325,0.9998818448558682,0.00012141079341953499,0.04990488268864934,0.025013146741034435,0.0001691329517029647,14983,787,4,32942,0.9255620068482954,0.9745467616202008,0.9181535335576863,0.9455100261551874,0.9810319112671664,0.0818464664423138,0.05686894543994379,0.06935770594112879,0.0001691329517029647,18790,1133,3867,43380
test_oracle_do_not_report_as_main,0.001,test_oracle,0.9945192544543887,0.9924948006148838,0.9994536514296121,0.9959620706864479,0.9998818448558682,0.0005463485703879075,0.015789473684210527,0.008167911127299218,0.001,15521,249,18,32928,0.8813160637189221,0.9906553731604327,0.8391855567549262,0.9086513120201672,0.9810319112671664,0.16081444324507377,0.01877227325202028,0.08979335824854702,0.001,19549,374,7598,39649
