policy,threshold,threshold_source,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_threshold,test_tn,test_fp,test_fn,test_tp
fixed_0_5,0.5,fixed,0.9986862632400033,0.9989984217554935,0.9990590663509986,0.9990287431329105,0.9999786337790466,0.0009409336490013963,0.002092580849714648,0.0015167572493580222,0.5,15737,33,31,32915,0.7940747357451243,0.9985973917455012,0.7082354435202235,0.8287186091435931,0.9847892766731572,0.2917645564797765,0.0023590824674998745,0.1470618194736382,0.5,19876,47,13785,33462
checkpoint_threshold,0.7772222222222223,best_metrics_json,0.9985015190081288,0.9993619930123044,0.9984216596855461,0.9988916050469929,0.9999786337790466,0.001578340314453955,0.0013316423589093216,0.0014549913366816384,0.7772222222222223,15749,21,52,32894,0.7748101831174632,0.9989437385442231,0.6805723114695112,0.8095825570270406,0.9847892766731572,0.3194276885304887,0.0017065702956382072,0.16056712941306345,0.7772222222222223,19889,34,15092,32155
val_min_acer,0.774,val,0.9985425732818787,0.9993620317768934,0.9984823650822559,0.9989220047674718,0.9999786337790466,0.0015176349177441874,0.0013316423589093216,0.0014246386383267545,0.774,15749,21,50,32896,0.7750930474914396,0.9989443616492797,0.680974453404449,0.8098672204392423,0.9847892766731572,0.31902554659555105,0.0017065702956382072,0.16036605844559462,0.774,19889,34,15073,32174
val_target_bpcer_0.005,0.0595353313081437,val,0.9981936119550046,0.9976373659659539,0.9996964730164511,0.9986658580958157,0.9999786337790466,0.0003035269835488375,0.0049461001902346225,0.00262481358689173,0.0595353313081437,15692,78,10,32936,0.8362215274676195,0.9965205479452055,0.7698478210256736,0.8686400706890993,0.9847892766731572,0.2301521789743264,0.006374541986648597,0.11826336048048751,0.0595353313081437,19796,127,10874,36373
val_target_bpcer_0.010,0.008588828559546258,val,0.9966951309631332,0.9952865818654258,0.9998482365082256,0.9975621943279379,0.9999786337790466,0.00015176349177441876,0.009892200380469245,0.005021981936121832,0.008588828559546258,15614,156,5,32941,0.8735596248325145,0.9929530884298362,0.8261053611869537,0.9018774189821501,0.9847892766731572,0.17389463881304634,0.013903528585052453,0.0938990836990494,0.008588828559546258,19646,277,8216,39031
val_target_bpcer_0.020,0.001664260176485902,val,0.9935339518843912,0.9905884475448777,0.9999392946032902,0.995241907466429,0.9999786337790466,6.0705396709767496e-05,0.019847812301838935,0.009954258849274351,0.001664260176485902,15457,313,2,32944,0.9069971713562602,0.9865660305705877,0.8797595614536373,0.9301066245986194,0.9847892766731572,0.12024043854636274,0.028409376097977213,0.07432490732216998,0.001664260176485902,19357,566,5681,41566
val_target_bpcer_0.050,0.0002995549334359816,val,0.9838246161425405,0.9766973021049511,0.9999392946032902,0.9881816545683604,0.9999786337790466,6.0705396709767496e-05,0.04984147114774889,0.02495108827222933,0.0002995549334359816,14984,786,2,32944,0.9364001786511835,0.9700934170513466,0.9385146146845302,0.9540427729248246,0.9847892766731572,0.061485385315469765,0.0686141645334538,0.06504977492446179,0.0002995549334359816,18556,1367,2905,44342
test_oracle_do_not_report_as_main,0.001,test_oracle,0.9917686181131455,0.9880334702936149,0.9999392946032902,0.9939507308904947,0.9999786337790466,6.0705396709767496e-05,0.02530120481927711,0.012680955107993438,0.001,15371,399,2,32944,0.9161232693166592,0.9833213315059584,0.8959510656761276,0.9376052095330911,0.9847892766731572,0.10404893432387241,0.036038749184359786,0.0700438417541161,0.001,19205,718,4916,42331
