run_name,method,dz,bits,latent_bits,policy,threshold,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_tn,test_fp,test_fn,test_tp
baseline_mbv3,MobileNetV3 baseline,-,-,-,val_target_bpcer_0.020,0.163,0.9546374869733512,0.9905660377358492,0.9445044129786018,0.9669870093285806,0.9944696568103792,0.0554955870213981,0.0213321286954775,0.0384138578584378,19498,425,2622,44625
aqb_z64_b8,AQB-FAS z64/b8,64,8,512,val_target_bpcer_0.020,0.0003806979871402,0.9701057019502756,0.9919956498096792,0.9652888014053802,0.9784600201669134,0.995189541622775,0.0347111985946197,0.0184711137880841,0.0265911561913519,19555,368,1640,45607
ablation_noattr,Bottleneck-only,64,8,512,val_target_bpcer_0.020,0.0006868103588995,0.8915438439779664,0.9885330073349632,0.8557368721823608,0.9173539655348452,0.9810319112671664,0.1442631278176392,0.0235406314310093,0.0839018796243243,19454,469,6816,40431
ablation_attr,+ Attribute heads,64,8,512,val_target_bpcer_0.020,0.0054166869110331,0.9573916927199644,0.9931118764581712,0.945985988528372,0.968976282357022,0.9966250060404366,0.0540140114716278,0.0155599056367013,0.0347869585541645,19613,310,2552,44695
ablation_proto,+ Attribute heads + Prototype,64,8,512,val_target_bpcer_0.020,0.000614877765381,0.9592675301473872,0.9919103507724952,0.9498380849577752,0.9704184236133636,0.9951957797908852,0.0501619150422249,0.0183707273001054,0.0342663211711651,19557,366,2370,44877
aqb_z16_b8,AQB-FAS z16/b8,16,8,128,val_target_bpcer_0.020,0.0010691263391734,0.9658031859461068,0.99069909610934,0.960399602091138,0.9753140818278542,0.9961235644100912,0.0396003979088619,0.0213823219394669,0.0304913599241644,19497,426,1871,45376
aqb_z32_b8,AQB-FAS z32/b8,32,8,256,val_target_bpcer_0.020,7.242022334607315e-05,0.962929879410451,0.9901868442380568,0.956780324676699,0.9731969860064584,0.995950447277344,0.0432196753233009,0.0224865733072328,0.0328531243152668,19475,448,2042,45205
aqb_z128_b8,AQB-FAS z128/b8,128,8,1024,val_target_bpcer_0.020,0.0016642601764859,0.9069971713562602,0.9865660305705876,0.8797595614536373,0.9301066245986194,0.9847892766731572,0.1202404385463627,0.0284093760979772,0.0743249073221699,19357,566,5681,41566
aqb_z64_b4,AQB-FAS z64/b4,64,4,256,val_target_bpcer_0.020,0.001150962200885,0.9655352091707609,0.9907383136740936,0.9599762947912036,0.9751147516312468,0.9963981659781508,0.0400237052087963,0.0212819354514882,0.0306528203301422,19499,424,1891,45356
