epoch,train_loss,train_loss_pad,train_loss_spoof,train_loss_illum,train_loss_env,train_loss_proto,train_loss_total,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp
0,0.13934138634909182,0.0008169885259121656,0.05975518748164177,0.1502579152584076,0.049436479806900024,0.0009013161179609597,0.0387580469250679,0.9976599063962559,0.9984211804712169,0.9981181327019972,0.9982696335873228,0.9999413357597015,0.0018818672980027925,0.003297400126823082,0.0025896337124129373,0.046363636363636364,15718,52,62,32884
1,0.04292879219122535,0.0003319094830658287,0.036594510078430176,0.08861919492483139,0.018888147547841072,0.0005819751531817019,0.022090096026659012,0.9990762788406273,0.9995141651231287,0.9991197717477084,0.999316929522306,0.9999918777180052,0.0008802282522916287,0.001014584654407102,0.0009474064533493655,0.30846464646464644,15754,16,29,32917
2,0.02709084935044995,0.00014246284263208508,0.05990103259682655,0.12866711616516113,0.023063194006681442,5.622714161290787e-05,0.0332886166870594,0.9989941702931275,0.9994534357635199,0.9990590663509986,0.9992562121465111,0.9999899125876932,0.0009409336490013963,0.0011414077362079899,0.0010411706926046931,0.1622929292929293,15752,18,31,32915
3,0.02048774619258048,0.002792746527120471,0.01090265903621912,0.03533880412578583,0.008034192956984043,0.003178959246724844,0.010559791699051857,0.9976804335331309,0.998572599993926,0.9979967219085777,0.9982845778998983,0.9999570115714803,0.0020032780914223274,0.0029803424223208623,0.002491810256871595,0.7621010101010101,15723,47,66,32880
4,0.016914728781097933,6.630426651099697e-05,0.05761594697833061,0.029575783759355545,0.012395738624036312,4.9875739932758734e-05,0.02155073545873165,0.9987478446506282,0.9995139289728712,0.9986341285740302,0.9990738350819125,0.9999915755383197,0.0013658714259697686,0.001014584654407102,0.0011902280401884353,0.9737979797979798,15754,16,45,32901
