run_name,method,model,dz,bits,bitrate_bits,best_epoch,train_loss,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,test_acc,test_precision,test_recall,test_f1,test_auc,test_apcer,test_bpcer,test_acer,test_threshold,checkpoint,history
baseline_mbv3,Baseline MobileNetV3,baseline_mbv3,,,,5,0.0016532105128282538,0.9990762788406273,0.9992412976844406,0.9993929460329023,0.9993171161054373,0.9999232646446189,0.000607053967097675,0.0015852885225110971,0.0010961712448043861,0.999,0.8434866755992259,0.9988863537592351,0.7783562977543548,0.8749390338198731,0.9944696568103791,0.22164370224564522,0.00205792300356372,0.11185081262460447,0.999,D:\Paper2026\Paper-2026\outputs\runs\baseline_mbv3\best.pt,D:\Paper2026\Paper-2026\outputs\runs\baseline_mbv3\history.csv
aqb_z16_b8,"AQB-FAS z=16, b=8",aqb_fas,16,8,128.0,1,0.04680436307369007,0.9988915346087528,0.9996050792879275,0.9987555393674498,0.9991801287501518,0.999987665487165,0.0012444606325502337,0.0008243500317057704,0.0010344053321280021,0.39415151515151514,0.8550245645377401,0.9994673626461423,0.7943149829618812,0.885159677343271,0.9961235590982995,0.2056850170381188,0.0010038648797871808,0.103344440958953,0.39415151515151514,D:\Paper2026\Paper-2026\outputs\runs\aqb_z16_b8\best.pt,D:\Paper2026\Paper-2026\outputs\runs\aqb_z16_b8\history.csv
aqb_z32_b8,"AQB-FAS z=32, b=8",aqb_fas,32,8,256.0,8,0.008197519748395048,0.9992815502093768,0.99969633476056,0.9992411825411279,0.9994687068324302,0.9999914523567917,0.0007588174588720937,0.0006341154090044388,0.0006964664339382663,0.016121212121212123,0.8494714902486229,0.9995964053166873,0.7863144749931212,0.8802198713468304,0.9959504472773439,0.21368552500687873,0.0007528986598403855,0.10721921183335956,0.016121212121212123,D:\Paper2026\Paper-2026\outputs\runs\aqb_z32_b8\best.pt,D:\Paper2026\Paper-2026\outputs\runs\aqb_z32_b8\history.csv
aqb_z64_b4,"AQB-FAS z=64, b=4",aqb_fas,64,4,256.0,1,0.04292879219122535,0.9990762788406273,0.9995141651231287,0.9991197717477084,0.999316929522306,0.9999918777180052,0.0008802282522916287,0.001014584654407102,0.0009474064533493655,0.30846464646464644,0.823671281822242,0.9993793550935199,0.7497830550087836,0.8567731637119984,0.9963981659781507,0.2502169449912164,0.0011042513677658988,0.12566059817949113,0.30846464646464644,D:\Paper2026\Paper-2026\outputs\runs\aqb_z64_b4\best.pt,D:\Paper2026\Paper-2026\outputs\runs\aqb_z64_b4\history.csv
ablation_attr,"AQB-FAS z=64, b=8",aqb_fas,64,8,512.0,1,0.04546505439179439,0.9990146974300025,0.9994231236337139,0.9991197717477084,0.9992714246683464,0.9999890782253131,0.0008802282522916287,0.0012048192771084338,0.0010425237647000312,0.785,0.8361322018758375,0.9994212005953366,0.767477300146041,0.8682254067449628,0.9966250060404366,0.232522699853959,0.0010540581237765397,0.11678837898886776,0.785,D:\Paper2026\Paper-2026\outputs\runs\ablation_attr\best.pt,D:\Paper2026\Paper-2026\outputs\runs\ablation_attr\history.csv
ablation_noattr,"AQB-FAS z=64, b=8",aqb_fas,64,8,512.0,1,0.004568701516824281,0.9965924952787585,0.9985702987163108,0.9963880288957688,0.9974779702218171,0.9998818429311568,0.003611971104231166,0.0029803424223208623,0.003296156763276014,0.268,,,,,,,,,,D:\Paper2026\Paper-2026\outputs\runs\ablation_noattr\best.pt,D:\Paper2026\Paper-2026\outputs\runs\ablation_noattr\history.csv
ablation_proto,"AQB-FAS z=64, b=8",aqb_fas,64,8,512.0,1,0.046067523073213816,0.998788898924378,0.9996657449329971,0.9985430704789656,0.9991040923240453,0.9999914119378528,0.0014569295210344199,0.0006975269499048827,0.0010772282354696513,0.274,0.8038112252493673,0.99970665023908,0.7212944737231993,0.8379807219435428,0.9951957797908852,0.2787055262768006,0.0005019324398935904,0.1396037293583471,0.274,D:\Paper2026\Paper-2026\outputs\runs\ablation_proto\best.pt,D:\Paper2026\Paper-2026\outputs\runs\ablation_proto\history.csv
aqb_z64_b8,"AQB-FAS z=64, b=8",aqb_fas,64,8,512.0,6,0.014050077059402694,0.9994252401675014,0.9997874407870764,0.9993625933345475,0.9995749719177874,0.9999972380391795,0.0006374066654525587,0.00044388078630310716,0.0005406437258778329,0.8175454545454546,0.8020098258150961,0.9998527592908888,0.7186276377336127,0.8362292962256018,0.995189541622775,0.2813723622663873,0.0002509662199467952,0.14081166424316705,0.8175454545454546,D:\Paper2026\Paper-2026\outputs\runs\aqb_z64_b8\best.pt,D:\Paper2026\Paper-2026\outputs\runs\aqb_z64_b8\history.csv
aqb_z128_b8,"AQB-FAS z=128, b=8",aqb_fas,128,8,1024.0,4,0.015895776838328452,0.9985015190081288,0.9993619930123044,0.9984216596855461,0.9988916050469929,0.9999786337790465,0.001578340314453955,0.0013316423589093216,0.0014549913366816384,0.7772222222222223,0.7748101831174632,0.9989437385442231,0.6805723114695112,0.8095825570270406,0.9847892766731572,0.3194276885304887,0.0017065702956382072,0.16056712941306345,0.7772222222222223,D:\Paper2026\Paper-2026\outputs\runs\aqb_z128_b8\best.pt,D:\Paper2026\Paper-2026\outputs\runs\aqb_z128_b8\history.csv
