method                 , run_name     , codec , quality, tx_payload      , avg_bits            , avg_kbits           , raw_bits_reference, bit_ratio_vs_raw      , threshold_policy      , threshold             , val_count, celeba_test_count, external_dataset, external_source_split, external_count, val_avg_bits        , val_min_bits, val_max_bits, val_acc           , val_precision     , val_recall        , val_f1            , val_auc           , val_apcer          , val_bpcer           , val_acer            , val_tn, val_fp, val_fn, val_tp, celeba_avg_bits     , celeba_min_bits, celeba_max_bits, celeba_acc        , celeba_precision  , celeba_recall     , celeba_f1         , celeba_auc        , celeba_apcer       , celeba_bpcer        , celeba_acer         , celeba_tn, celeba_fp, celeba_fn, celeba_tp, lcc_avg_bits        , lcc_min_bits, lcc_max_bits, lcc_acc            , lcc_precision     , lcc_recall         , lcc_f1             , lcc_auc           , lcc_apcer          , lcc_bpcer          , lcc_acer           , lcc_tn, lcc_fp, lcc_fn, lcc_tp
Raw image + MobileNetV3, baseline_mbv3, raw   ,        , raw_image       , 1204224.0           , 1204.224            ,            1204224, 1.0                   , val_target_bpcer_0.020, 0.163                 ,     48716,             67170, lcc_fasd        , all                  ,          18827, 1204224.0           ,    1204224.0,    1204224.0, 0.9935339518843912, 0.990529448904122 , 1.0               , 0.9952421949340704, 0.9999232646446188, 0.0                , 0.019974635383639822, 0.009987317691819911,  15455,    315,      0,  32946, 1204224.0           ,       1204224.0,       1204224.0, 0.9546374869733512, 0.9905660377358491, 0.9445044129786018, 0.9669870093285806, 0.9944696568103791, 0.05549558702139818, 0.021332128695477588, 0.038413857858437886,     19498,       425,      2622,     44625, 1204224.0           ,    1204224.0,    1204224.0, 0.8205237159398736 , 0.9206428304472406, 0.8753331359194552 , 0.8974164364431222 , 0.7177911887741238, 0.12466686408054486, 0.6560247167868177 , 0.3903457904336813 ,    668,   1274,   2105,  14780
JPEG Q=10 + MobileNetV3, baseline_mbv3, jpeg  ,      10, compressed_image,   20291.245853803783,   20.291245853803783,            1204224, 0.016850059335973857  , val_target_bpcer_0.020, 0.007689283720758305  ,     48716,             67170, lcc_fasd        , all                  ,          18827,   19721.78717464488 ,      11616.0,      43808.0, 0.7701165941374497, 0.9859230459847165, 0.6696412311054453, 0.7975706306599425, 0.9649040881677944, 0.33035876889455473, 0.019974635383639822, 0.17516670213909727 ,  15455,    315,  10884,  22062,   20291.245853803783,         12064.0,         41200.0, 0.5556796188774751, 0.9780769230769231, 0.3767646623066015, 0.5439821534982505, 0.8394850382238811, 0.6232353376933986 , 0.020027104351754255, 0.3216312210225764  ,     19524,       399,     29446,     17801,   18521.69713709035 ,      12432.0,      29440.0, 0.1587613533754714 , 0.9330024813895782, 0.06680485638140361, 0.12468221509892782, 0.5723289429584696, 0.9331951436185963 , 0.04170957775489186, 0.4874523606867441 ,   1861,     81,  15757,   1128
JPEG Q=30 + MobileNetV3, baseline_mbv3, jpeg  ,      30, compressed_image,   33796.50939407474 ,   33.79650939407474 ,            1204224, 0.02806496913703326   , val_target_bpcer_0.020, 4.15545533471888e-06  ,     48716,             67170, lcc_fasd        , all                  ,          18827,   32402.06141719353 ,      12800.0,      78192.0, 0.8729986041546925, 0.9886060694591535, 0.821677897165058 , 0.8974456728936332, 0.9843568419120221, 0.17832210283494201, 0.01978440076093849 , 0.09905325179794025 ,  15458,    312,   5875,  27071,   33796.50939407474 ,         13008.0,         77264.0, 0.6284055381866905, 0.9847740026971766, 0.4791203674307363, 0.6446165674744426, 0.8958673895534912, 0.5208796325692636 , 0.01756763539627566 , 0.26922363398276966 ,     19573,       350,     24610,     22637,   28968.769108195676,      15312.0,      52216.0, 0.24544537100972008, 0.9633344863369077, 0.16493929523245485, 0.28165453074433655, 0.6854996710954671, 0.8350607047675451 , 0.05458290422245108, 0.4448218044949981 ,   1836,    106,  14100,   2785
JPEG Q=50 + MobileNetV3, baseline_mbv3, jpeg  ,      50, compressed_image,   43808.66779812416 ,   43.80866779812416 ,            1204224, 0.03637916849201159   , val_target_bpcer_0.020, 1.5638467583022478e-06,     48716,             67170, lcc_fasd        , all                  ,          18827,   41829.137367599964,      14304.0,     102344.0, 0.9127596682814682, 0.9892586783059402, 0.8805621319735324, 0.9317510277492291, 0.9898147113081144, 0.11943786802646755, 0.019974635383639822, 0.06970625170505369 ,  15455,    315,   3935,  29011,   43808.66779812416 ,         13704.0,        102456.0, 0.670656543099598 , 0.9838616492701152, 0.5406480834761995, 0.6978281655511542, 0.9155725366522945, 0.4593519165238005 , 0.021030969231541435, 0.24019144287767097 ,     19504,       419,     21703,     25544,   36842.01837786158 ,      17728.0,      69472.0, 0.3326605407128061 , 0.9712104689203925, 0.2637251998815517 , 0.41481136469492313, 0.7430628285423871, 0.7362748001184484 , 0.06797116374871266, 0.40212298193358054,   1810,    132,  12432,   4453
WEBP Q=10 + MobileNetV3, baseline_mbv3, webp  ,      10, compressed_image,   13628.893851421766,   13.628893851421767,            1204224, 0.011317573683485602  , val_target_bpcer_0.020, 0.449                 ,     48716,             67170, lcc_fasd        , all                  ,          18827,   12655.71918876755 ,       2032.0,      49328.0, 0.8766113802446834, 0.9885724650825322, 0.8271110301705822, 0.9006626894283684, 0.9831468114788707, 0.17288896982941784, 0.019974635383639822, 0.09643180260652884 ,  15455,    315,   5696,  27250,   13628.893851421766,          2544.0,         56656.0, 0.6244156617537591, 0.9793199529801037, 0.4760937202362055, 0.6407086703885154, 0.8895614860073262, 0.5239062797637946 , 0.02384179089494554 , 0.27387403532937005 ,     19448,       475,     24753,     22494,   11129.912572369469,       3296.0,      27424.0, 0.4138736920380305 , 0.9677006715701951, 0.3584246372519988 , 0.5230995289338346 , 0.7300102285192709, 0.6415753627480012 , 0.10401647785787847, 0.37279592030293984,   1740,    202,  10833,   6052
WEBP Q=30 + MobileNetV3, baseline_mbv3, webp  ,      30, compressed_image,   20505.675509900255,   20.505675509900254,            1204224, 0.017028123928687897  , val_target_bpcer_0.020, 0.254                 ,     48716,             67170, lcc_fasd        , all                  ,          18827,   18904.38853764677 ,       2592.0,      79904.0, 0.9502832744888743, 0.9898889388200552, 0.93604686456626  , 0.9622152886115445, 0.9942698753683945, 0.06395313543374007, 0.019974635383639822, 0.04196388540868994 ,  15455,    315,   2107,  30839,   20505.675509900255,          2720.0,         84448.0, 0.6945362513026648, 0.9828738663872529, 0.575761424005757 , 0.7261491644866799, 0.9213676816855654, 0.42423857599424303, 0.023791597650956182, 0.2240150868225996  ,     19449,       474,     20044,     27203,   15724.037180644818,       4304.0,      42800.0, 0.5800180591703404 , 0.9570352270413358, 0.5567071365116968 , 0.7039352978619837 , 0.7430169923334898, 0.4432928634883032 , 0.21730175077239958, 0.3302973071303514 ,   1520,    422,   7485,   9400
WEBP Q=50 + MobileNetV3, baseline_mbv3, webp  ,      50, compressed_image,   27269.743278249218,   27.26974327824922 ,            1204224, 0.022645075399800384  , val_target_bpcer_0.020, 0.09794696670695385   ,     48716,             67170, lcc_fasd        , all                  ,          18827,   25054.644223663683,       3200.0,     102784.0, 0.9732941949256918, 0.9902705047562979, 0.9700418867237297, 0.980051825388307 , 0.9972078539310362, 0.02995811327627026, 0.019911223842739377, 0.024934668559504818,  15456,    314,    987,  31959,   27269.743278249218,          3360.0,        106016.0, 0.7289117165401221, 0.9846775270396582, 0.6243147713082312, 0.7641412898462495, 0.9387331895990135, 0.3756852286917688 , 0.023038698991115797, 0.19936196384144228 ,     19464,       459,     17750,     29497,   20165.187443565093,       5440.0,      56384.0, 0.6532639294630053 , 0.9535779977226942, 0.6447734675747705 , 0.7693449226203095 , 0.7510767392066097, 0.3552265324252295 , 0.2729145211122554 , 0.3140705267687425 ,   1412,    530,   5998,  10887
AQB-FAS z64/b8         , aqb_z64_b8   , latent,        , quantized_latent,     512             ,    0.512            ,            1204224, 0.00042517006802721087, val_target_bpcer_0.020, 0.0003806979871402    ,          ,                  , lcc_fasd        , lcc_fasd             ,          18827,     512             ,        512  ,        512  , 0.993595533295016 , 0.9906187984845752, 1.0               , 0.9952872938191046, 0.9999972380391796, 0.0                , 0.0197844007609384  , 0.0098922003804692  ,  15458,    312,      0,  32946,     512             ,           512  ,           512  , 0.9701057019502756, 0.9919956498096792, 0.9652888014053802, 0.9784600201669134, 0.995189541622775 , 0.0347111985946197 , 0.0184711137880841  , 0.0265911561913519  ,     19555,       368,      1640,     45607,     512             ,        512  ,        512  , 0.7826525734317735 , 0.9229650201679561, 0.826650873556411  , 0.8721569607598101 , 0.7013954884117952, 0.173349126443589  , 0.5998970133882595 , 0.38662306991592427,    777,   1165,   2927,  13958
