target_latency_ms,status,run_name,method,dz,bits,latent_bits,latency_ms_per_image,latency_ms_p95,throughput_fps,test_acer,test_apcer,test_bpcer,test_auc
5.0,fastest_available_exceeds_target,aqb_z64_b4,AQB-FAS z64/b4,64,4,256.0,12.854002999592922,13.526599999750031,77.79677661749957,0.0306528203301422,0.0400237052087963,0.0212819354514882,0.9963981659781508
10.0,fastest_available_exceeds_target,aqb_z64_b4,AQB-FAS z64/b4,64,4,256.0,12.854002999592922,13.526599999750031,77.79677661749957,0.0306528203301422,0.0400237052087963,0.0212819354514882,0.9963981659781508
20.0,meets_target,aqb_z64_b8,AQB-FAS z64/b8,64,8,512.0,15.27412000024924,17.383699996571522,65.47022021456438,0.0265911561913519,0.0347111985946197,0.0184711137880841,0.995189541622775
33.3,meets_target,aqb_z64_b8,AQB-FAS z64/b8,64,8,512.0,15.27412000024924,17.383699996571522,65.47022021456438,0.0265911561913519,0.0347111985946197,0.0184711137880841,0.995189541622775
50.0,meets_target,aqb_z64_b8,AQB-FAS z64/b8,64,8,512.0,15.27412000024924,17.383699996571522,65.47022021456438,0.0265911561913519,0.0347111985946197,0.0184711137880841,0.995189541622775
