run_name       , config                      , checkpoint                          , device, model        , dz , bits, latent_bits, raw_image_bits, compression_ratio, params , checkpoint_mb     , batch_size, image_size, warmup, repeats, amp , latency_ms_mean   , latency_ms_median , latency_ms_p95    , latency_ms_std    , latency_ms_per_image, throughput_fps
baseline_mbv3  , configs\baseline_mbv3.yaml  , outputs\runs\baseline_mbv3\best.pt  , xpu   , baseline_mbv3,    ,     ,            ,        1204224,                  ,  927585, 10.829527854919434,          1,        224,     20,     100, True, 12.171657000653795, 11.971150001045316, 13.434300002700184, 0.6739358181983744,   12.171657000653795, 82.15808249824042
aqb_z64_b8     , configs\aqb_z64_b8.yaml     , outputs\runs\aqb_z64_b8\best.pt     , xpu   , aqb_fas      ,  64,    8,         512,        1204224,            2352.0, 1102964, 12.857068061828613,          1,        224,     20,     100, True, 15.27412000024924 , 15.107550003449433, 17.383699996571522, 1.4105819733116152,   15.27412000024924 , 65.47022021456438
ablation_noattr, configs\ablation_noattr.yaml, outputs\runs\ablation_noattr\best.pt, xpu   , aqb_fas      ,  64,    8,         512,        1204224,            2352.0, 1102964, 12.832509994506836,          1,        224,     20,     100, True, 13.61634300003061 , 13.361150002310751, 15.479499998036772, 0.9476499781632336,   13.61634300003061 , 73.44115817277458
ablation_attr  , configs\ablation_attr.yaml  , outputs\runs\ablation_attr\best.pt  , xpu   , aqb_fas      ,  64,    8,         512,        1204224,            2352.0, 1102964, 12.85543441772461 ,          1,        224,     20,     100, True, 13.467744999652496, 13.255300003947923, 15.16529999935301 , 0.8121011185883902,   13.467744999652496, 74.25148011235754
ablation_proto , configs\ablation_proto.yaml , outputs\runs\ablation_proto\best.pt , xpu   , aqb_fas      ,  64,    8,         512,        1204224,            2352.0, 1102964, 12.857129096984863,          1,        224,     20,     100, True, 13.637428000074578, 13.442399998893961, 15.58140000270214 , 0.8729172377840729,   13.637428000074578, 73.32760986855669
aqb_z16_b8     , configs\aqb_z16_b8.yaml     , outputs\runs\aqb_z16_b8\best.pt     , xpu   , aqb_fas      ,  16,    8,         128,        1204224,            9408.0, 1084388, 12.644543647766113,          1,        224,     20,     100, True, 14.022726000112016, 13.372049997997237, 16.567400001804344, 2.150465236874298 ,   14.022726000112016, 71.31281036169514
aqb_z32_b8     , configs\aqb_z32_b8.yaml     , outputs\runs\aqb_z32_b8\best.pt     , xpu   , aqb_fas      ,  32,    8,         256,        1204224,            4704.0, 1090580, 12.716870307922363,          1,        224,     20,     100, True, 13.40787899956922 , 13.079849995847326, 14.592500003345776, 0.7678678485328405,   13.40787899956922 , 74.58301197617676
aqb_z128_b8    , configs\aqb_z128_b8.yaml    , outputs\runs\aqb_z128_b8\best.pt    , xpu   , aqb_fas      , 128,    8,        1024,        1204224,            1176.0, 1127732, 13.140576362609863,          1,        224,     20,     100, True, 13.60822399998142 , 13.328099998034304, 15.849899995373562, 1.0254554433472183,   13.60822399998142 , 73.48497496817846
aqb_z64_b4     , configs\aqb_z64_b4.yaml     , outputs\runs\aqb_z64_b4\best.pt     , xpu   , aqb_fas      ,  64,    4,         256,        1204224,            4704.0, 1102964, 12.857129096984863,          1,        224,     20,     100, True, 12.854002999592922, 12.735750002320856, 13.526599999750033, 0.2667031484602773,   12.854002999592922, 77.79677661749957
