epoch,train_loss,train_loss_pad,train_loss_spoof,train_loss_illum,train_loss_env,train_loss_proto,train_loss_total,val_acc,val_precision,val_recall,val_f1,val_auc,val_apcer,val_bpcer,val_acer,val_threshold,val_tn,val_fp,val_fn,val_tp
0,0.1312852112926698,0.8823792338371277,1.5299220085144043,1.4516863822937012,1.0235154628753662,0.7378581166267395,1.6257688999176025,0.9965514410050086,0.998873736758797,0.9960237965155102,0.9974467309036749,0.9999169053982417,0.003976203484489771,0.0023462270133164237,0.0031612152489030976,0.052000000000000005,15733,37,131,32815
1,0.046067523073213816,0.000507460325025022,0.027735896408557892,0.9637102484703064,0.3246917724609375,0.00042525131721049547,0.13768969476222992,0.998788898924378,0.9996657449329971,0.9985430704789656,0.9991040923240453,0.9999914119378528,0.0014569295210344199,0.0006975269499048827,0.0010772282354696513,0.274,15759,11,48,32898
2,0.030379534250660815,5.700652764062397e-05,0.07844313234090805,0.1170058622956276,0.5663972496986389,3.904469485860318e-05,0.09193220734596252,0.9982551933656294,0.9993314086005166,0.9980877800036423,0.9987092071494739,0.9999729231604023,0.0019122199963576762,0.0013950538998097654,0.001653636948083721,0.54,15748,22,63,32883
3,0.022553160988976605,0.00017635351105127484,0.020542077720165253,0.17150342464447021,0.0005417134962044656,2.9403767257463187e-05,0.023544959723949432,0.9985425732818787,0.9992406985573272,0.9986037758756754,0.9989221356894536,0.9999588823909351,0.0013962241243246525,0.0015852885225110971,0.0014907563234178747,0.769,15745,25,46,32900
4,0.018549157901780633,0.0011098164832219481,1.5363059043884277,1.0884071588516235,0.167832612991333,0.0008151667425408959,0.5876663327217102,0.9964282781837589,0.9995731707317074,0.9951435682632186,0.9973534511605269,0.9999709849760494,0.0048564317367814,0.0008877615726062143,0.002872096654693807,0.47700000000000004,15756,14,160,32786
